Variable,Subject,Grade,Year,Jurisdiction,Grouping,Mean,SD,N,Cohen's d
Race/Ethnicity,GRE - Quantitative,NA,2023,US,No Response,152.3,8.1,6452.0,0.20497665120642633
Gender,GRE - Analytical Writing,NA,2023,MBA Applicants,Male,3.8,0.9,6013.0,-0.1111111111111112
Gender,GRE - Quantitative,NA,2023,MBA Applicants,Male,157.1,8.8,6013.0,0.3033516385516417
Gender,GRE - Verbal,NA,2023,MBA Applicants,Male,154.0,8.2,6013.0,0.09756097560975749
Age Group,GRE - Analytical Writing,NA,2023,US,Over 40,156.6,8.8,5638.0,
Age Group,GRE - Quantitative,NA,2023,US,Over 40,148.5,7.3,5638.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,Hispanic,3.6,0.9,5592.0,-0.3523321317088219
Race/Ethnicity,GRE - Quantitative,NA,2023,US,Hispanic,147.3,7.7,5592.0,-0.44732969958970475
Race/Ethnicity,GRE - Verbal,NA,2023,US,Hispanic,149.2,7.6,5592.0,-0.43996089410293276
Gender,GRE - Analytical Writing,NA,2023,MBA Applicants,Female,3.9,0.9,4641.0,0.0
Gender,GRE - Quantitative,NA,2023,MBA Applicants,Female,154.4,9.0,4641.0,0.0
Gender,GRE - Verbal,NA,2023,MBA Applicants,Female,153.2,8.2,4641.0,0.0
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,8-10 Years,3.6,0.9,4098.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,8-10 Years,151.8,9.1,4098.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,8-10 Years,151.3,8.9,4098.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,Another Race/Ethnicity,3.9,0.9,3125.0,0.0
Race/Ethnicity,GRE - Quantitative,NA,2023,US,Another Race/Ethnicity,150.7,8.7,3125.0,0.0
Race/Ethnicity,GRE - Verbal,NA,2023,US,Another Race/Ethnicity,152.7,8.3,3125.0,0.02543594827439699
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,White,4.2,0.9,2424.0,0.0
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,White,154.0,7.6,2424.0,0.0
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,White,155.9,7.4,2424.0,0.0
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,5-7 Years,4.0,0.9,2305.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,5-7 Years,156.2,8.1,2305.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,5-7 Years,155.0,7.5,2305.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,3-4 Years,4.0,0.9,2145.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,3-4 Years,156.6,8.3,2145.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,3-4 Years,154.7,7.9,2145.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,Less than 1 Year,3.8,0.9,1907.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,Less than 1 Year,154.8,8.3,1907.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,Less than 1 Year,151.5,8.3,1907.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,11-14 Years,3.7,0.9,1624.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,11-14 Years,151.6,9.0,1624.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,11-14 Years,151.3,8.9,1624.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,1-2 Years,3.8,0.9,1476.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,1-2 Years,155.7,9.5,1476.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,1-2 Years,152.8,8.6,1476.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,15-19 Years,3.5,0.9,1126.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,15-19 Years,149.4,9.4,1126.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,15-19 Years,150.6,9.3,1126.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,20-29 Years,3.5,0.9,844.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,20-29 Years,147.7,9.4,844.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,20-29 Years,151.1,8.9,844.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,8-10 Years,3.8,0.9,814.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,8-10 Years,154.9,8.5,814.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,8-10 Years,153.7,8.1,814.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,Asian,4.4,0.8,660.0,0.23488808780588158
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,Asian,157.6,7.6,660.0,0.47368421052631504
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,Asian,156.5,7.2,660.0,0.08218407016184828
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,Black,3.7,0.9,657.0,-0.5555555555555556
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,Black,148.9,8.1,657.0,-0.6493523125957034
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,Black,151.2,8.0,657.0,-0.6099268628612341
Gender,GRE - Analytical Writing,NA,2023,US,Another gender,3.9,0.9,551.0,0.46977617561176266
Gender,GRE - Quantitative,NA,2023,US,Another gender,154.1,9.7,551.0,-0.16992355159880404
Gender,GRE - Verbal,NA,2023,US,Another gender,156.1,7.9,551.0,0.6792318495088646
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,American Indian/Alaska Native,3.6,0.9,513.0,-0.3523321317088219
Race/Ethnicity,GRE - Quantitative,NA,2023,US,American Indian/Alaska Native,147.4,7.4,513.0,-0.4429430445012197
Race/Ethnicity,GRE - Verbal,NA,2023,US,American Indian/Alaska Native,149.6,7.1,513.0,-0.39991441510950887
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,No Response,4.2,0.9,424.0,0.0
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,No Response,155.5,7.4,424.0,0.19998222459224146
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,No Response,156.8,7.7,424.0,0.11918177864608855
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,US,Over 30 Years,3.4,0.8,403.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,US,Over 30 Years,147.9,9.6,403.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,US,Over 30 Years,148.4,8.7,403.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,Hispanic,4.0,0.9,299.0,-0.2222222222222224
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,Hispanic,151.2,7.6,299.0,-0.3684210526315805
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,Hispanic,153.7,8.0,299.0,-0.2854976804882384
Race/Ethnicity,GRE - Analytical Writing,NA,2023,US,Native Hawaiian/Other Pacific Islander,3.8,0.9,273.0,-0.11744404390294079
Race/Ethnicity,GRE - Quantitative,NA,2023,US,Native Hawaiian/Other Pacific Islander,148.2,7.6,273.0,-0.33111856684056856
Race/Ethnicity,GRE - Verbal,NA,2023,US,Native Hawaiian/Other Pacific Islander,149.4,6.9,273.0,-0.43330164721106507
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,11-14 Years,3.6,0.9,225.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,11-14 Years,153.6,9.0,225.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,11-14 Years,153.0,8.9,225.0,
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,Another Race/Ethnicity,4.3,0.9,196.0,0.11111111111111072
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,Another Race/Ethnicity,154.2,8.4,196.0,0.024968808471944697
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,Another Race/Ethnicity,156.2,8.2,196.0,0.038411063979866614
Race/Ethnicity,GRE - Analytical Writing,NA,2023,MBA Applicants,Mexican,3.9,0.9,191.0,-0.33333333333333365
Race/Ethnicity,GRE - Quantitative,NA,2023,MBA Applicants,Mexican,150.0,8.6,191.0,-0.4928890024967746
Race/Ethnicity,GRE - Verbal,NA,2023,MBA Applicants,Mexican,151.5,7.6,191.0,-0.5866145254705758
Age Group,GRE - Analytical Writing,NA,2023,US,Under 18,164.0,9.2,166.0,
Age Group,GRE - Verbal,NA,2023,US,Under 18,154.8,7.6,166.0,
Age Group,GRE - Verbal,NA,2023,US,Under 18,3.5,0.9,166.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,15-19 Years,3.6,0.8,74.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,15-19 Years,150.5,9.6,74.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,15-19 Years,149.8,8.9,74.0,
Years of Full-time Work Experience,GRE - Analytical Writing,NA,2023,MBA Applicants,20-29 Years,3.5,1.1,38.0,
Years of Full-time Work Experience,GRE - Quantitative,NA,2023,MBA Applicants,20-29 Years,151.3,10.3,38.0,
Years of Full-time Work Experience,GRE - Verbal,NA,2023,MBA Applicants,20-29 Years,150.9,9.7,38.0,
Gender,GMAT - Total Score,NA,2017,Business,Female,643.84,86.72,1029.0,0.0
Gender,GMAT - Total Score,NA,2017,Business,Male,652.71,85.93,1848.0,0.10275015516315819
Race/Ethnicity,GMAT - Total Score,NA,2017,Business,White,661.26,75.1,936.0,0.0
Race/Ethnicity,GMAT - Total Score,NA,2017,Business,Asian,663.6,81.44,166.0,0.029872022315205773
Race/Ethnicity,GMAT - Total Score,NA,2017,Business,Black,608.43,90.34,89.0,-0.6359679176917021
Race/Ethnicity,GMAT - Total Score,NA,2017,Business,Other,647.86,77.35,136.0,-0.17577619944415301
Language,GMAT - Total Score,NA,2017,Business,English,661.5,76.9,1315.0,
Language,GMAT - Total Score,NA,2017,Business,Other,647.06,93.25,809.0,
Citizenship,GMAT - Total Score,NA,2017,Business,UCAP,660.64,83.35,1843.0,
Citizenship,GMAT - Total Score,NA,2017,Business,ESA,665.11,80.74,406.0,
Citizenship,GMAT - Total Score,NA,2017,Business,CSA,661.25,87.02,169.0,
Citizenship,GMAT - Total Score,NA,2017,Business,WE,630.52,113.62,105.0,
Citizenship,GMAT - Total Score,NA,2017,Business,MCLA,638.03,98.52,126.0,
Citizenship,GMAT - Total Score,NA,2017,Business,AEEME,622.09,112.79,88.0,
Age,GMAT - Total Score,NA,2017,Business,≤ 25,664.19,69.63,552.0,
Age,GMAT - Total Score,NA,2017,Business,26–30,681.05,64.94,1296.0,
Age,GMAT - Total Score,NA,2017,Business,≥ 31,637.54,90.58,385.0,
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Black,550.0,86.13,2083.0,-1.1726460002322072
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Asian,679.0,86.13,7554.0,0.32508998026239405
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Native Hawaiian/Other Pacific Islander,638.0,86.13,166.0,-0.15093463369325438
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Hispanic,588.0,86.13,2834.0,-0.7314524555903866
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Middle East/North African American,657.0,86.13,481.0,0.06966213862765587
Race/Ethnicity,GMAT - Total Score,NA,2023,US,American Indian/Alaska Native,577.0,86.13,241.0,-0.8591663764077557
Race/Ethnicity,GMAT - Total Score,NA,2023,US,White,651.0,86.13,18961.0,0.0
Race/Ethnicity,GMAT - Total Score,NA,2023,US,Another Race/Ethnicity,658.0,86.13,644.0,0.08127249506559851
Race/Ethnicity,GMAT - Total Score,NA,2023,US,No Response,236.0,86.13,664.0,-4.818297921746198
Gender,Casper,NA,2024,US,Female,0.075,0.975,35311.0,0.0
Gender,Casper,NA,2024,US,Male,-0.145,1.012,16930.0,-0.22140097451953056
Gender,Casper,NA,2024,US,Another gender,0.113,0.979,466.0,0.038894493735752426
Race/Ethnicity,Casper,NA,2024,US,Asian,0.064,1.015,11945.0,-0.05721878018811278
Race/Ethnicity,Casper,NA,2024,US,Black,-0.475,0.999,4210.0,-0.6131281084241169
Race/Ethnicity,Casper,NA,2024,US,Hispanic,-0.257,0.978,6237.0,-0.39283996274109273
Race/Ethnicity,Casper,NA,2024,US,American Indian/Alaska Native,-0.198,0.92,216.0,-0.3417299900689962
Race/Ethnicity,Casper,NA,2024,US,Middle East/North African American,-0.046,1.045,2448.0,-0.1669414498500443
Race/Ethnicity,Casper,NA,2024,US,Another Race/Ethnicity,0.025,1.046,1437.0,-0.0954883105676704
Race/Ethnicity,Casper,NA,2024,US,White,0.12,0.941,26260.0,0.0
Parent Education,Casper,NA,2024,US,"Associate degree (e.g. AA, AS)",-0.128,0.958,2269.0,
Parent Education,Casper,NA,2024,US,"Bachelor’s degree (e.g. BA, BS)",0.019,0.978,12344.0,
Parent Education,Casper,NA,2024,US,"Doctorate (e.g. PhD, EdD)",0.159,0.992,3553.0,
Parent Education,Casper,NA,2024,US,Less than a high school diploma,-0.361,1.025,1619.0,
Parent Education,Casper,NA,2024,US,"Master’s degree (e.g. MA, MS, MEd)",0.125,0.957,11114.0,
Parent Education,Casper,NA,2024,US,"Professional degree (e.g. MD, DDS, DVM)",0.13,0.984,5772.0,
Parent Education,Casper,NA,2024,US,"Some college, no degree",-0.17,0.976,2587.0,
Age,Casper,NA,2024,US,Under 20,0.104,0.975,1322.0,
Age,Casper,NA,2024,US,20-22,0.145,0.949,18880.0,
Age,Casper,NA,2024,US,23-25,0.0,0.966,17090.0,
Age,Casper,NA,2024,US,26-28,-0.046,1.007,7343.0,
Age,Casper,NA,2024,US,Over 28,-0.46,1.053,3985.0,
Gender,Casper,NA,2024,CA,Female,0.047,0.971,28060.0,0.0
Gender,Casper,NA,2024,CA,Male,-0.062,1.009,9246.0,-0.11008073896124829
Gender,Casper,NA,2024,CA,Another gender,0.015,0.991,401.0,-0.032618081092553035
Race/Ethnicity,Casper,NA,2024,CA,Asian,0.004,1.003,9734.0,-0.15373264077885204
Race/Ethnicity,Casper,NA,2024,CA,Black,-0.603,1.026,3090.0,-0.7786603705027099
Race/Ethnicity,Casper,NA,2024,CA,Hispanic,-0.093,0.997,734.0,-0.25601666522513894
Race/Ethnicity,Casper,NA,2024,CA,American Indian/Alaska Native,-0.167,0.904,754.0,-0.3511867075464346
Race/Ethnicity,Casper,NA,2024,CA,Middle East/North African American,-0.051,1.053,3169.0,-0.20555295896953543
Race/Ethnicity,Casper,NA,2024,CA,Another Race/Ethnicity,0.101,0.973,1720.0,-0.0531587414872382
Race/Ethnicity,Casper,NA,2024,CA,White,0.151,0.907,18960.0,0.0
Parent Education,Casper,NA,2024,CA,"Associate degree (e.g. AA, AS)",-0.028,0.949,2523.0,
Parent Education,Casper,NA,2024,CA,"Bachelor’s degree (e.g. BA, BS)",0.079,0.95,11285.0,
Parent Education,Casper,NA,2024,CA,"Doctorate (e.g. PhD, EdD)",0.15,0.986,1873.0,
Parent Education,Casper,NA,2024,CA,High school degree or equivalent (e.g. GED),0.025,1.021,49.0,
Parent Education,Casper,NA,2024,CA,Less than a high school diploma,-0.243,1.088,1192.0,
Parent Education,Casper,NA,2024,CA,"Master’s degree (e.g. MA, MS, MEd)",0.123,0.959,5806.0,
Parent Education,Casper,NA,2024,CA,"Professional degree (e.g. MD, DDS, DVM)",0.134,0.993,2480.0,
Parent Education,Casper,NA,2024,CA,"Some college, no degree",-0.041,0.956,3768.0,
Age,Casper,NA,2024,CA,Under 20,0.049,0.947,10103.0,
Age,Casper,NA,2024,CA,20-22,0.192,0.916,9247.0,
Age,Casper,NA,2024,CA,23-25,0.091,0.953,6986.0,
Age,Casper,NA,2024,CA,26-28,0.04,0.961,5326.0,
Age,Casper,NA,2024,CA,Over 28,-0.488,1.062,3994.0,
Gender,Casper,NA,2022,CA,Female,0.036,0.978,33051.0,0.0
Gender,Casper,NA,2022,CA,Male,-0.056,1.017,11755.0,-0.09221295814575212
Gender,Casper,NA,2022,CA,Another gender,0.204,0.964,353.0,0.17301301198853075
Race/Ethnicity,Casper,NA,2022,CA,Asian,-0.001,1.022,10792.0,-0.15946267505098347
Race/Ethnicity,Casper,NA,2022,CA,Black,-0.611,1.035,2810.0,-0.7854902333017381
Race/Ethnicity,Casper,NA,2022,CA,Hispanic,-0.27,0.975,803.0,-0.44945846834115444
Race/Ethnicity,Casper,NA,2022,CA,American Indian/Alaska Native,-0.162,0.916,835.0,-0.34576866704687614
Race/Ethnicity,Casper,NA,2022,CA,Middle East/North African American,-0.113,1.079,3382.0,-0.2669979677377749
Race/Ethnicity,Casper,NA,2022,CA,Another Race/Ethnicity,-0.027,1.008,1833.0,-0.18782125834351734
Race/Ethnicity,Casper,NA,2022,CA,White,0.153,0.906,23020.0,0.0
Parent Education,Casper,NA,2022,CA,"Associate degree (e.g. AA, AS)",0.021,0.947,3042.0,
Parent Education,Casper,NA,2022,CA,"Bachelor’s degree (e.g. BA, BS)",0.071,0.961,14033.0,
Parent Education,Casper,NA,2022,CA,"Doctorate (e.g. PhD, EdD)",0.117,0.995,2209.0,
Parent Education,Casper,NA,2022,CA,Less than a high school diploma,-0.274,1.085,1332.0,
Parent Education,Casper,NA,2022,CA,"Master’s degree (e.g. MA, MS, MEd)",0.129,0.963,6405.0,
Parent Education,Casper,NA,2022,CA,"Professional degree (e.g. MD, DDS, DVM)",0.063,1.002,2854.0,
Parent Education,Casper,NA,2022,CA,"Some college, no degree",-0.036,0.957,4929.0,
Age,Casper,NA,2022,CA,Under 20,0.008,0.937,11307.0,
Age,Casper,NA,2022,CA,20-22,0.21,0.929,10035.0,
Age,Casper,NA,2022,CA,23-25,0.148,0.947,7829.0,
Age,Casper,NA,2022,CA,26-28,0.072,0.947,6339.0,
Age,Casper,NA,2022,CA,Over 28,-0.509,1.05,4986.0,
Gender,Casper,NA,2022,US,Female,0.066,0.98,46463.0,0.0
Gender,Casper,NA,2022,US,Male,-0.125,1.013,24912.0,-0.19164457857350684
Gender,Casper,NA,2022,US,Another gender,0.164,0.978,463.0,0.10010209282466698
Race/Ethnicity,Casper,NA,2022,US,Asian,0.1,1.011,14920.0,-0.021598212623512313
Race/Ethnicity,Casper,NA,2022,US,Black,-0.565,1.01,5676.0,-0.7059189884066184
Race/Ethnicity,Casper,NA,2022,US,Hispanic,-0.275,0.987,7478.0,-0.41254554994269527
Race/Ethnicity,Casper,NA,2022,US,American Indian/Alaska Native,-0.295,0.98,289.0,-0.4350093847168289
Race/Ethnicity,Casper,NA,2022,US,Middle East/North African American,-0.105,1.058,3083.0,-0.22668175048670838
Race/Ethnicity,Casper,NA,2022,US,Another Race/Ethnicity,0.054,1.031,1720.0,-0.06817621531455373
Race/Ethnicity,Casper,NA,2022,US,White,0.121,0.932,35897.0,0.0
Parent Education,Casper,NA,2022,US,"Associate degree (e.g. AA, AS)",-0.134,0.981,3707.0,
Parent Education,Casper,NA,2022,US,"Bachelor’s degree (e.g. BA, BS)",0.019,0.973,17435.0,
Parent Education,Casper,NA,2022,US,"Doctorate (e.g. PhD, EdD)",0.148,0.991,5020.0,
Parent Education,Casper,NA,2022,US,Less than a high school diploma,-0.436,1.038,2040.0,
Parent Education,Casper,NA,2022,US,"Master’s degree (e.g. MA, MS, MEd)",0.098,0.963,14985.0,
Parent Education,Casper,NA,2022,US,"Professional degree (e.g. MD, DDS, DVM)",0.142,0.973,8274.0,
Parent Education,Casper,NA,2022,US,"Some college, no degree",-0.147,1.001,3803.0,
Age,Casper,NA,2022,US,Under 20,0.126,0.938,1129.0,
Age,Casper,NA,2022,US,20-22,0.137,0.944,25530.0,
Age,Casper,NA,2022,US,23-25,-0.012,0.98,21227.0,
Age,Casper,NA,2022,US,26-28,-0.041,0.992,10152.0,
Age,Casper,NA,2022,US,Over 28,-0.418,1.115,5211.0,
Race/Ethnicity,MCAT CPBS,NA,2023,US,American Indian/Alaska Native,123.6,2.7,90.0,-1.111111111111111
Race/Ethnicity,MCAT CPBS,NA,2023,US,Asian,127.4,2.8,12600.0,0.2908610186802435
Race/Ethnicity,MCAT CPBS,NA,2023,US,Black,124.0,2.9,4672.0,-0.9279797933227224
Race/Ethnicity,MCAT CPBS,NA,2023,US,Hispanic,124.8,3.0,3177.0,-0.6307059974731631
Race/Ethnicity,MCAT CPBS,NA,2023,US,Native Hawaiian/Other Pacific Islander,125.1,3.1,57.0,-0.5160156871153361
Race/Ethnicity,MCAT CPBS,NA,2023,US,White,126.6,2.7,21131.0,0.0
Race/Ethnicity,MCAT CPBS,NA,2023,US,Another Race/Ethnicity,126.2,3.0,1263.0,-0.1401568883273668
Race/Ethnicity,MCAT CPBS,NA,2023,US,Multiple Races/Ethnicities,125.9,3.0,6009.0,-0.24527455457289316
Race/Ethnicity,MCAT CPBS,NA,2023,US,Unknown  Race/Ethnicity,126.8,2.8,1692.0,0.07271525467006087
Race/Ethnicity,MCAT CARS,NA,2023,US,American Indian/Alaska Native,123.8,2.9,90.0,-0.9603319116990563
Race/Ethnicity,MCAT CARS,NA,2023,US,Asian,126.2,2.7,12600.0,-0.07686624420240988
Race/Ethnicity,MCAT CARS,NA,2023,US,Black,123.8,2.7,4672.0,-0.9992611746313175
Race/Ethnicity,MCAT CARS,NA,2023,US,Hispanic,124.2,2.8,3177.0,-0.8288619096656191
Race/Ethnicity,MCAT CARS,NA,2023,US,Native Hawaiian/Other Pacific Islander,124.7,2.5,57.0,-0.6800000000000012
Race/Ethnicity,MCAT CARS,NA,2023,US,White,126.4,2.5,21131.0,0.0
Race/Ethnicity,MCAT CARS,NA,2023,US,Another Race/Ethnicity,125.2,2.7,1263.0,-0.4611974652144538
Race/Ethnicity,MCAT CARS,NA,2023,US,Multiple Races/Ethnicities,125.6,2.8,6009.0,-0.30140433078750173
Race/Ethnicity,MCAT CARS,NA,2023,US,Unknown  Race/Ethnicity,126.5,2.7,1692.0,0.038433122101202206
Race/Ethnicity,MCAT BBLS,NA,2023,US,American Indian/Alaska Native,123.9,2.6,90.0,-1.19230769230769
Race/Ethnicity,MCAT BBLS,NA,2023,US,Asian,127.4,2.7,12600.0,0.15091653558091114
Race/Ethnicity,MCAT BBLS,NA,2023,US,Black,124.3,2.9,4672.0,-0.9803608768776572
Race/Ethnicity,MCAT BBLS,NA,2023,US,Hispanic,125.2,3.0,3177.0,-0.6412234498911857
Race/Ethnicity,MCAT BBLS,NA,2023,US,Native Hawaiian/Other Pacific Islander,125.2,2.9,57.0,-0.6535739179184364
Race/Ethnicity,MCAT BBLS,NA,2023,US,White,127.0,2.6,21131.0,0.0
Race/Ethnicity,MCAT BBLS,NA,2023,US,Another Race/Ethnicity,126.4,3.0,1263.0,-0.21374114996372687
Race/Ethnicity,MCAT BBLS,NA,2023,US,Multiple Races/Ethnicities,126.2,2.9,6009.0,-0.29047729685263785
Race/Ethnicity,MCAT BBLS,NA,2023,US,Unknown  Race/Ethnicity,127.0,2.7,1692.0,0.0
Race/Ethnicity,MCAT PSBB,NA,2023,US,American Indian/Alaska Native,125.0,2.9,90.0,-1.016670538984235
Race/Ethnicity,MCAT PSBB,NA,2023,US,Asian,128.1,2.6,12600.0,0.11538461538461428
Race/Ethnicity,MCAT PSBB,NA,2023,US,Black,125.4,3.0,4672.0,-0.8549645998549126
Race/Ethnicity,MCAT PSBB,NA,2023,US,Hispanic,125.9,3.2,3177.0,-0.6516946235415306
Race/Ethnicity,MCAT PSBB,NA,2023,US,Native Hawaiian/Other Pacific Islander,126.1,2.8,57.0,-0.6291982286679655
Race/Ethnicity,MCAT PSBB,NA,2023,US,White,127.8,2.6,21131.0,0.0
Race/Ethnicity,MCAT PSBB,NA,2023,US,Another Race/Ethnicity,127.3,2.9,1263.0,-0.1815483105328993
Race/Ethnicity,MCAT PSBB,NA,2023,US,Multiple Races/Ethnicities,127.1,2.9,6009.0,-0.25416763474606
Race/Ethnicity,MCAT PSBB,NA,2023,US,Unknown  Race/Ethnicity,127.9,2.6,1692.0,0.03846153846154174
Race/Ethnicity,MCAT Total,NA,2023,US,American Indian/Alaska Native,496.3,9.7,90.0,-1.248158025582691
Race/Ethnicity,MCAT Total,NA,2023,US,Asian,509.1,9.3,12600.0,0.14436426434143465
Race/Ethnicity,MCAT Total,NA,2023,US,Black,497.5,10.0,4672.0,-1.0989519427760093
Race/Ethnicity,MCAT Total,NA,2023,US,Hispanic,500.1,10.6,3177.0,-0.7940887697285394
Race/Ethnicity,MCAT Total,NA,2023,US,Native Hawaiian/Other Pacific Islander,501.1,10.0,57.0,-0.7148522346212857
Race/Ethnicity,MCAT Total,NA,2023,US,White,507.8,8.7,21131.0,0.0
Race/Ethnicity,MCAT Total,NA,2023,US,Another Race/Ethnicity,505.1,10.0,1263.0,-0.28807478111603974
Race/Ethnicity,MCAT Total,NA,2023,US,Multiple Races/Ethnicities,504.9,10.1,6009.0,-0.30765875753194866
Race/Ethnicity,MCAT Total,NA,2023,US,Unknown  Race/Ethnicity,508.2,9.1,1692.0,0.044932476504135885
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,American Indian/Alaska Native,3.21,0.58,90.0,-0.8286707904650416
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Asian,3.62,0.39,12600.0,0.026645358899248333
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Black,3.21,0.5,4672.0,-0.9181462976097771
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Hispanic,3.37,0.46,3177.0,-0.5810610014929902
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Native Hawaiian/Other Pacific Islander,3.27,0.54,57.0,-0.7408831771886949
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,White,3.61,0.36,21131.0,0.0
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Another Race/Ethnicity,3.52,0.43,1263.0,-0.22695888143730986
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Multiple Races/Ethnicities,3.48,0.44,6009.0,-0.3233870868182462
Race/Ethnicity,AAMC - GPA Science,NA,2023,US,Unknown  Race/Ethnicity,3.57,0.4,1692.0,-0.10511766624552742
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,American Indian/Alaska Native,3.63,0.34,90.0,-0.6116648994275269
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Asian,3.81,0.24,12600.0,0.0
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Black,3.62,0.34,4672.0,-0.6456462827290553
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Hispanic,3.69,0.31,3177.0,-0.43287181602485225
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Native Hawaiian/Other Pacific Islander,3.71,0.27,57.0,-0.391480146343136
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,White,3.81,0.24,21131.0,0.0
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Another Race/Ethnicity,3.78,0.27,1263.0,-0.11744404390294166
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Multiple Races/Ethnicities,3.75,0.29,6009.0,-0.22541422702960354
